,location,surface,rooms,bathrooms,surface_price_rate,premium?,days_from_last_update,price
468,Barcelona - Sant Gervasi - Galvany,85,2,1,"21,18",False,3,1800
469,Barcelona - Dreta de l´Eixample,60,1,1,"24,50",False,3,1470
470,Barcelona - Sagrada Família,55,2,1,"18,00",False,3,990
471,Barcelona - Sagrada Família,67,2,1,"23,88",False,3,1600
472,Barcelona - Sant Gervasi - Galvany,178,4,2,"15,73",False,5,2800
473,Barcelona - Pedralbes,282,5,5,"23,05",False,3,6500
474,Barcelona - Poblenou,109,4,2,"16,06",False,7,1750
475,Barcelona - Dreta de l´Eixample,48,1,1,"31,25",False,5,1500
476,Barcelona - Sant Gervasi - Galvany,92,3,1,"13,04",False,2,1200
477,Barcelona - Sant Gervasi - Galvany,92,2,1,"13,04",False,2,1200
478,Barcelona - Camp d´en Grassot - Gràcia N.,65,2,2,"27,69",False,5,1800
479,Barcelona - Dreta de l´Eixample,89,2,1,"16,29",False,5,1450
480,Barcelona - Vila de Gràcia,87,4,1,"14,37",False,3,1250
481,Barcelona - Dreta de l´Eixample,60,1,1,"26,67",False,3,1600
482,Barcelona - Pedralbes,77,2,2,"23,38",False,2,1800
483,Barcelona - Fort Pienc,150,4,2,"11,81",False,3,1772
484,Barcelona - Tres Torres,160,4,3,"20,00",False,9,3200
485,Barcelona - Sant Gervasi - Bonanova,65,1,1,"38,46",False,0,2500
486,Barcelona - Putget - Farró,200,3,3,"22,50",False,0,4500
487,Barcelona - Camp d´en Grassot - Gràcia N.,81,2,1,"19,70",False,3,1596
488,Barcelona - Gòtic,90,2,2,"17,78",False,2,1600
489,Barcelona - Putget - Farró,54,1,1,"18,33",False,5,990
490,Barcelona - Glòries El Parc,81,2,2,"25,31",False,2,2050
491,Barcelona - Vilapicina - Torre Llobeta,70,3,1,"12,86",False,0,900
492,Barcelona - Sant Gervasi - Bonanova,100,3,2,"18,00",False,3,1800
493,Barcelona - Tres Torres,85,2,2,"20,00",False,3,1700
494,Barcelona - St. Pere - Sta. Caterina - El Born,77,2,2,"41,56",False,4,3200
495,Barcelona - Vila de Gràcia,175,4,3,"17,71",False,3,3100
496,Barcelona - Raval,62,2,2,"21,77",False,5,1350
497,Barcelona - Porta,80,2,1,"10,00",False,2,800
498,Barcelona - Sant Martí,80,2,1,"11,56",False,2,925
499,Barcelona - Poblenou,57,2,1,"22,81",False,3,1300
500,Barcelona - Poblenou,57,2,1,"22,81",False,3,1300
501,Barcelona - Sarrià,500,5,4,"10,00",False,0,5000
502,Barcelona - Raval,45,1,1,"23,89",False,5,1075
503,Barcelona - Raval,41,2,1,"21,95",False,3,900
504,Barcelona - Putget - Farró,170,3,3,"16,47",False,5,2800
505,Barcelona - Vila de Gràcia,50,2,1,"27,00",False,3,1350
506,Barcelona - Turó de la Peira - Can Peguera,64,2,1,"11,56",False,2,740
507,Barcelona - Taxonera,225,5,3,"9,78",False,10,2200
508,Barcelona - Turó de la Peira - Can Peguera,70,3,1,"11,43",False,4,800
509,Barcelona - Sant Gervasi - Galvany,97,4,2,"11,34",False,19,1100
510,Barcelona - Fort Pienc,53,1,1,"15,98",False,0,847
511,Barcelona - Raval,43,1,1,"19,19",False,5,825
512,Barcelona - Dreta de l´Eixample,50,1,1,"24,00",False,3,1200
513,Barcelona - Dreta de l´Eixample,57,1,1,"26,32",False,3,1500
514,Barcelona - Besòs - Maresme,93,3,1,"10,65",False,4,990
515,Barcelona - Sagrada Família,61,1,1,"14,75",False,5,900
516,Barcelona - Gòtic,58,2,2,"22,41",False,5,1300
517,Barcelona - La Salut,140,4,2,"9,80",False,0,1372
518,Barcelona - Poble Sec,55,1,1,"18,18",False,5,1000
519,Barcelona - Carmel,78,2,1,"9,62",False,3,750
520,Barcelona - Sagrada Família,73,3,1,"13,42",False,5,980
521,Barcelona - Esquerra Baixa de l´Eixample,175,4,2,"12,57",False,2,2200
522,Barcelona - Navas,53,2,1,"17,17",False,3,910
523,Barcelona - Esquerra Alta de l´Eixample,78,3,1,"15,38",False,3,1200
524,Barcelona - Dreta de l´Eixample,189,4,2,"12,17",False,5,2300
525,Barcelona - Sant Gervasi - Bonanova,390,5,5,"23,08",False,0,9000
526,Barcelona - Sant Gervasi - Galvany,203,5,4,"14,78",False,5,3000
527,Barcelona - Sarrià,55,3,1,"17,73",False,3,975
528,Barcelona - Diagonal Mar - La Mar Bella,153,3,2,"39,22",False,0,6000
529,Barcelona - Vallcarca - Penitents,90,3,2,"10,56",False,5,950
530,Barcelona - Gòtic,90,2,2,"17,78",False,2,1600
531,Barcelona - Esquerra Baixa de l´Eixample,71,3,1,"15,35",False,3,1090
532,Barcelona - Sant Ramon - Maternitat,85,3,1,"14,71",False,5,1250
533,Barcelona - Sant Antoni,108,3,1,"11,11",False,3,1200
534,Barcelona - Vila de Gràcia,94,3,2,"12,07",False,5,1135
535,Barcelona - Raval,80,2,2,"25,00",False,3,2000
536,Barcelona - Sagrada Família,82,3,2,"14,63",False,5,1200
537,Barcelona - Barceloneta,40,1,1,"27,50",False,3,1100
538,Barcelona - Vallvidrera - Tibidabo - Les Planes,672,10,6,"29,76",False,0,20000
539,Barcelona - Sant Gervasi - Galvany,136,3,2,"18,38",False,0,2500
540,Barcelona - Dreta de l´Eixample,61,1,1,"24,59",False,10,1500
541,Barcelona - Carmel,90,9,41,,False,10,847
542,Barcelona - St. Pere - Sta. Caterina - El Born,57,1,1,"50,00",False,4,2850
543,Barcelona - Sant Gervasi - Galvany,60,2,1,"21,00",False,3,1260
544,Barcelona - Sant Antoni,93,1,10,2,False,4,1000
545,Barcelona - Sant Gervasi - Galvany,56,2,1,"16,96",False,5,950
546,Barcelona - Putget - Farró,50,1,1,"23,00",False,2,1150
547,Barcelona - Dreta de l´Eixample,44,1,1,"29,55",False,10,1300
548,Barcelona - Glòries El Parc,71,2,2,"25,35",False,2,1800
549,Barcelona - Sant Gervasi - Bonanova,95,4,2,"13,58",False,3,1290
550,Barcelona - Vallcarca - Penitents,90,3,1,"13,33",False,26,1200
551,Barcelona - Sant Gervasi - Galvany,113,5,2,"13,98",False,4,1580
552,Barcelona - Poble Sec,60,2,15,2,False,4,900
553,Barcelona - Vila Olímpica,126,3,2,"14,29",False,3,1800
554,Barcelona - Sagrada Família,66,3,1,"13,94",False,3,920
555,Barcelona - Can Baró,70,3,2,"14,29",False,4,1000
556,Barcelona - Raval,45,1,1,"17,22",False,0,775
557,Barcelona - Camp de l´Arpa,57,3,1,"16,60",False,5,946
558,Barcelona - Raval,62,2,2,"21,77",False,5,1350
559,Barcelona - Diagonal Mar - La Mar Bella,64,2,1,"15,63",False,5,1000
560,Barcelona - Sant Genís dels Agudells,66,3,2,"12,33",False,2,814
561,Barcelona - Sant Gervasi - Bonanova,93,2,2,"38,23",False,0,3555
562,Barcelona - Sant Gervasi - Bonanova,287,4,4,"20,39",False,0,5852
563,Barcelona - Dreta de l´Eixample,200,5,2,"17,50",False,5,3500
564,Barcelona - St. Pere - Sta. Caterina - El Born,35,1,1,"31,43",False,3,1100
565,Barcelona - Tres Torres,138,4,3,"21,01",False,3,2900
566,Barcelona - Pedralbes,225,5,5,"26,04",False,0,5860
567,Barcelona - Sant Antoni,95,3,2,"15,79",False,3,1500
568,Barcelona - La Sagrera,80,1,2,"11,75",False,2,940
569,Barcelona - Raval,62,2,2,"21,77",False,5,1350
570,Barcelona - Pedralbes,190,3,2,"12,11",False,2,2300
571,Barcelona - Pedralbes,981,7,6,"14,27",False,0,14000
572,Barcelona - Baix Guinardó,105,4,2,"9,90",False,5,1040
573,Barcelona - Sant Andreu,100,2,1,"8,80",False,0,880
574,Barcelona - Navas,51,1,1,"15,69",False,4,800
575,Barcelona - Fort Pienc,100,4,2,"16,00",False,2,1600
576,Barcelona - Pedralbes,225,4,3,"27,72",False,0,6237
577,Barcelona - Glòries El Parc,70,3,1,"15,00",False,22,1050
578,Barcelona - Raval,40,1,1,"23,75",False,3,950
579,Barcelona - Sant Gervasi - Galvany,180,5,3,"22,22",False,0,4000
580,Barcelona - Raval,71,1,1,"19,01",False,0,1350
581,Barcelona - St. Pere - Sta. Caterina - El Born,105,2,2,"36,19",False,0,3800
582,Barcelona - St. Pere - Sta. Caterina - El Born,105,2,2,"36,19",False,0,3800
583,Barcelona - Dreta de l´Eixample,287,2,2,"58,54",False,0,16800
584,Barcelona - Sant Gervasi - Galvany,225,5,4,"31,11",False,0,7000
585,Barcelona - Sant Gervasi - Galvany,225,5,4,"31,11",False,0,7000
586,Barcelona - Raval,71,1,1,"19,01",False,0,1350
587,Barcelona - Sant Ramon - Maternitat,151,4,3,"11,92",False,2,1800
588,Barcelona - Dreta de l´Eixample,85,3,2,"22,35",False,0,1900
589,Barcelona - Raval,78,2,2,"24,36",False,0,1900
590,Barcelona - Dreta de l´Eixample,210,6,4,"18,57",False,0,3900
591,Barcelona - Sant Gervasi - Galvany,59,2,1,"15,76",False,3,930
592,Barcelona - Pedralbes,170,5,2,"17,65",False,0,3000
593,Barcelona - Putget - Farró,110,3,2,"18,18",False,3,2000
594,Barcelona - Sant Gervasi - Galvany,116,3,3,"18,10",False,4,2100
595,Barcelona - Sant Gervasi - Galvany,127,3,2,"23,62",False,5,3000
596,Barcelona - Raval,78,2,2,"19,23",False,0,1500
597,Barcelona - Diagonal Mar - La Mar Bella,92,2,2,"20,65",False,5,1900
598,Barcelona - Pedralbes,160,5,2,"16,88",False,0,2700
599,Barcelona - Dreta de l´Eixample,55,1,1,"13,64",False,3,750
600,Barcelona - La Sagrera,80,3,2,"11,88",False,0,950
601,Barcelona - Guinardó,262,4,4,"10,31",False,0,2700
602,Barcelona - Raval,80,2,2,"23,75",False,3,1900
603,Barcelona - Fort Pienc,65,2,1,"13,85",False,5,900
604,Barcelona - St. Pere - Sta. Caterina - El Born,150,3,2,"34,67",False,0,5200
605,Barcelona - Sant Gervasi - Galvany,450,4,5,"33,33",False,0,15000
606,Barcelona - Glòries El Parc,98,3,2,"21,58",False,0,2115
607,Barcelona - St. Pere - Sta. Caterina - El Born,100,2,2,"38,00",False,0,3800
608,Barcelona - Esquerra Alta de l´Eixample,75,2,1,"30,00",False,4,2250
609,Barcelona - Sant Gervasi - Bonanova,120,2,2,"20,33",False,0,2439
610,Barcelona - Sant Gervasi - Galvany,96,2,2,"20,78",False,0,1995
611,Barcelona - Sagrada Família,80,4,3,"35,00",False,4,2800
612,Barcelona - Camp d´en Grassot - Gràcia N.,125,2,2,"20,00",False,11,2500
613,Barcelona - Gòtic,72,3,1,"23,61",False,2,1700
614,Barcelona - Verdun,70,3,1,"11,43",False,6,800
615,Barcelona - Pedralbes,120,4,3,"28,99",False,0,3479
616,Barcelona - Les Corts,220,5,3,"13,64",False,0,3000
617,Barcelona - Esquerra Alta de l´Eixample,110,3,2,"12,50",False,4,1375
618,Barcelona - Sant Gervasi - Galvany,200,4,3,"10,09",False,5,2018
619,Barcelona - Dreta de l´Eixample,50,1,1,"22,00",False,3,1100
620,Barcelona - Pedralbes,160,4,3,"20,00",False,0,3200
621,Barcelona - Vila de Gràcia,197,5,2,"17,77",False,5,3500
622,Barcelona - Dreta de l´Eixample,70,2,1,"25,71",False,0,1800
623,Barcelona - Sarrià,139,2,2,"18,47",False,0,2568
624,Barcelona - Sant Gervasi - Galvany,47,2,1,"19,79",False,3,930
625,Barcelona - Dreta de l´Eixample,110,3,2,"24,55",False,0,2700
626,Barcelona - Raval,80,2,2,"20,00",False,0,1600
627,Barcelona - Pedralbes,234,4,3,"17,95",False,0,4200
628,Barcelona - Esquerra Alta de l´Eixample,250,5,3,"12,20",False,0,3050
629,Barcelona - Gòtic,72,3,1,"23,61",False,2,1700
630,Barcelona - Esquerra Baixa de l´Eixample,137,2,3,"21,90",False,0,3000
631,Barcelona - Esquerra Alta de l´Eixample,239,5,3,"12,76",False,0,3050
632,Barcelona - Sant Gervasi - Galvany,113,2,2,"17,70",False,0,2000
633,Barcelona - Poble Sec,49,1,1,"15,31",False,2,750
634,Barcelona - Sant Ramon - Maternitat,272,5,5,"9,56",False,0,2600
635,Barcelona - Dreta de l´Eixample,234,5,5,"35,04",False,0,8200
636,Barcelona - Pedralbes,225,4,7,"37,70",False,0,8482
637,Barcelona - La Salut,24,1,1,"27,08",False,6,650
638,Barcelona - Camp de l´Arpa,62,2,1,"20,65",False,8,1280
639,Barcelona - Porta,57,2,1,"14,04",False,10,800
640,Barcelona - Sant Gervasi - Galvany,210,4,3,"13,57",False,0,2850
641,Barcelona - Dreta de l´Eixample,65,2,1,"23,08",False,0,1500
642,Barcelona - La Salut,80,2,3,"12,19",False,5,975
643,Barcelona - Barceloneta,35,1,1,"20,43",False,3,715
644,Barcelona - Font de la Guatlla,103,4,2,"10,44",False,2,1075
645,Barcelona - Fort Pienc,90,4,2,"13,33",False,12,1200
646,Barcelona - Pedralbes,175,4,5,"19,43",False,0,3400
647,Barcelona - Camp d´en Grassot - Gràcia N.,62,3,1,"30,65",False,0,1900
648,Barcelona - Esquerra Alta de l´Eixample,133,3,2,"26,32",False,5,3500
649,Barcelona - Raval,80,2,2,"20,00",False,0,1600
650,Barcelona - Raval,80,2,2,"20,00",False,0,1600
651,Barcelona - Putget - Farró,120,2,2,"10,42",False,3,1250
652,Barcelona - Les Corts,125,4,2,"13,52",False,0,1690
653,Barcelona - El Coll,78,3,2,"10,77",False,5,840
654,Barcelona - Sagrada Família,117,3,2,"25,08",False,0,2934
655,Barcelona - Sant Gervasi - Galvany,240,5,5,"22,08",False,0,5300
656,Barcelona - Dreta de l´Eixample,100,3,3,"25,00",False,0,2500
657,Barcelona - Poblenou,95,3,2,"19,47",False,0,1850
658,Barcelona - Sant Antoni,100,2,2,"25,00",False,0,2500
659,Barcelona - Gòtic,104,2,2,"17,26",False,0,1795
660,Barcelona - Les Corts,105,4,2,"15,24",False,0,1600
661,Barcelona - Sant Gervasi - Galvany,90,2,2,"15,44",False,0,1390
662,Barcelona - Dreta de l´Eixample,108,3,2,"20,83",False,0,2250
663,Barcelona - Camp de l´Arpa,69,2,1,"18,12",False,0,1250
664,Barcelona - Sarrià,420,5,5,"18,33",False,0,7700
665,Barcelona - Congrés - Indians,79,2,2,"12,03",False,0,950
666,Barcelona - Vila Olímpica,90,3,2,"25,56",False,0,2300
667,Barcelona - Sant Gervasi - Galvany,69,1,1,"21,74",False,4,1500
668,Barcelona - Esquerra Alta de l´Eixample,60,3,2,"22,95",False,10,1377
669,Barcelona - Camp de l´Arpa,75,2,2,"22,67",False,4,1700
670,Barcelona - Gòtic,170,2,2,"18,82",False,12,3200
671,Barcelona - Sant Antoni,45,1,1,"30,89",False,0,1390
672,Barcelona - Esquerra Alta de l´Eixample,100,3,3,"18,50",False,0,1850
673,Barcelona - Sant Gervasi - Galvany,138,3,2,"15,04",False,0,2075
674,Barcelona - Dreta de l´Eixample,75,2,2,"23,87",False,0,1790
675,Barcelona - Sant Gervasi - Galvany,274,5,3,"11,55",False,0,3164
676,Barcelona - Dreta de l´Eixample,269,5,4,"20,45",False,11,5500
677,Barcelona - Raval,55,2,1,"20,00",False,0,1100
678,Barcelona - St. Pere - Sta. Caterina - El Born,95,3,2,"17,42",False,0,1655
679,Barcelona - Camp de l´Arpa,79,3,1,"15,82",False,8,1250
680,Barcelona - Putget - Farró,62,2,1,"14,52",False,5,900
681,Barcelona - Camp d´en Grassot - Gràcia N.,55,2,1,"22,73",False,0,1250
682,Barcelona - Esquerra Baixa de l´Eixample,63,2,1,"18,25",False,0,1150
683,Barcelona - St. Pere - Sta. Caterina - El Born,55,1,1,"16,18",False,5,890
684,Barcelona - Esquerra Baixa de l´Eixample,64,1,1,"20,23",False,0,1295
685,Barcelona - Baix Guinardó,90,3,1,"13,33",False,0,1200
686,Barcelona - Sagrada Família,73,2,1,"17,47",False,0,1275
687,Barcelona - Can Baró,70,3,2,"15,71",False,5,1100
688,Barcelona - St. Pere - Sta. Caterina - El Born,50,2,1,"16,00",False,4,800
689,Barcelona - Dreta de l´Eixample,225,5,4,"15,56",False,0,3500
690,Barcelona - Les Corts,343,5,2,"10,20",False,0,3500
691,Barcelona - Dreta de l´Eixample,225,4,3,"16,44",False,0,3700
692,Barcelona - Raval,60,2,1,"25,00",False,9,1500
693,Barcelona - Gòtic,115,3,1,"12,61",False,2,1450
694,Barcelona - Sant Gervasi - Galvany,600,10,4,"25,00",False,0,15000
695,Barcelona - Vallvidrera - Tibidabo - Les Planes,73,3,2,"16,44",False,0,1200
696,Barcelona - Raval,46,1,1,"16,30",False,11,750
697,Barcelona - Sant Gervasi - Bonanova,77,2,2,"16,36",False,0,1260
698,Barcelona - Sarrià,230,4,3,"8,65",False,0,1990
699,Barcelona - Sant Gervasi - Galvany,85,3,2,"19,94",False,0,1695
